name,dex_num,date,shiny,costume,event,form,location,Lat,type_1,type_2,box,size,evolved,traded,hatched,research,Shadow,remote raid,Has IRL loc
gastly,92,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
haunter,93,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,TRUE,FALSE,FALSE,,,,
haunter,93,07/19/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Ghost,Poison,,,TRUE,FALSE,FALSE,,,,
haunter,93,07/19/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Ghost,Poison,,,TRUE,FALSE,FALSE,,,,
gengar,94,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,TRUE,FALSE,FALSE,,,,
gengar,94,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,TRUE,FALSE,FALSE,,,,
gengar,94,07/19/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Ghost,Poison,,,TRUE,FALSE,FALSE,,,,
gengar,94,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,TRUE,FALSE,FALSE,,,,
gengar,94,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,TRUE,FALSE,FALSE,,,,
raticate,20,07/20/2020,TRUE,,n/a,,"Greenwich, CT","41.0262417,-73.6281964",Normal,,,,TRUE,FALSE,FALSE,,,,
natu,177,07/22/2020,TRUE,,n/a,,"New Canaan, CT","41.146763,-73.4948445",Psychic,Flying,,,FALSE,FALSE,FALSE,,,,
dratini,147,07/25/2020,TRUE,,Go Fest,Pseudo Legendary,"New Canaan, CT","41.146763,-73.4948445",Dragon,,,,FALSE,FALSE,FALSE,,,,
feebas,349,07/25/2020,TRUE,,Go Fest,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,,,FALSE,FALSE,FALSE,,,,
pikachu,25,07/25/2020,TRUE,,Go Fest,,"Norwalk, CT","41.11774399999999,-73.4081575",Electric,,,,FALSE,FALSE,FALSE,,,,
swoobat,528,07/25/2020,TRUE,,Go Fest,,"Norwalk, CT","41.11774399999999,-73.4081575",Psychic,Flying,,,TRUE,FALSE,FALSE,,,,
pikachu,25,07/25/2020,TRUE,,Go Fest,,"Norwalk, CT","41.11774399999999,-73.4081575",Electric,,,,FALSE,FALSE,FALSE,,,,
magikarp,129,07/25/2020,TRUE,,Go Fest,,"New Canaan, CT","41.146763,-73.4948445",Water,,,,FALSE,FALSE,FALSE,,,,
mudkip,258,07/25/2020,TRUE,,Go Fest,Starter,"New Canaan, CT","41.146763,-73.4948445",Water,,,,FALSE,FALSE,FALSE,,,,
blissey,242,07/25/2020,TRUE,,Go Fest,,"Norwalk, CT","41.11774399999999,-73.4081575",Normal,,,,TRUE,FALSE,FALSE,,,,
wigglytuff,40,07/25/2020,TRUE,,Go Fest,,"Norwalk, CT","41.11774399999999,-73.4081575",Normal,Fairy,,,TRUE,FALSE,FALSE,,,,
umbreon,197,07/25/2020,TRUE,,Go Fest,Eeveelution,"Norwalk, CT","41.11774399999999,-73.4081575",Dark,,,,TRUE,FALSE,FALSE,,,,
unown,201,07/25/2020,TRUE,,Go Fest,,"Norwalk, CT","41.11774399999999,-73.4081575",Psychic,,,,FALSE,FALSE,FALSE,,,,
flareon,136,07/25/2020,TRUE,,Go Fest,Eeveelution,"Norwalk, CT","41.11774399999999,-73.4081575",Fire,,,,TRUE,FALSE,FALSE,,,,
clefable,36,07/25/2020,TRUE,,Go Fest,,"Norwalk, CT","41.11774399999999,-73.4081575",Fairy,,,,TRUE,FALSE,FALSE,,,,
heatmor,631,07/25/2020,TRUE,,Go Fest,,"New Canaan, CT","41.146763,-73.4948445",Fire,,,,FALSE,FALSE,FALSE,,,,
